File,TextData
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYL0S23_Bridge2Rwanda.pdf,
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"AYLS70_ AYLS301_ AYLS151_ Home Young African Leaders Initiative_Simplified

   HTML Content



AYLS70_ AYLS301_ AYLS151_ Home Young African Leaders Initiative_Simplified
SourceURL: https://yali.state.gov/


                                     Young African Leaders Initiative

                                     The Young African Leaders Initiative (YALI) is the United States’ signature
                                     effort to invest in the next generation of African leaders.




                                     About YALI
                                     Mandela Washington Fellowship

                                     The Mandela Washington Fellowship is YALI’s flagship program, bringing
                                     African civic, business, and community leaders for academic coursework,
                                     leadership training, and networking at U.S. colleges and universities.
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"Regional Leadership Centers


The four YALI Regional Leadership Centers (RLCs) provide in-person and
online training throughout the year in business and entrepreneurship, civic
leadership and public management. They also offer opportunities for
professional development and networking.

More about the Regional
Leadership Centers


YALI Network

The YALI Network provides free tools and resources to help young African
leaders develop the skills and connections they need to become a positive force
for change in their communities.


More about the
YALI Network




Join YALIServes 2020!
YALIServes this year will be dedicated to resiliency and how we can all
continue to grow as individuals, community members, and business leaders,
even in the face of great difficulty. Together, we will still honor International
Nelson Mandela Day this year with the YALIServes Digital Day of Action.
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"Learn more




Learn about the...

   Regional Leadership Centers
   YALI Regional Leadership Centers build on existing institutional capacity
   in Africa to provide high quality training, mentoring, and networking
   support to a greater number of young leaders than can be reached through
   the Mandela Washington Fellowship. The Centers reach exceptional young
   leaders between the ages 18 and 35 from a wide range of backgrounds and
   diverse experiences.


   More about Regional Leadership Centers >
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf," Mandela Washington Fellowship
 The Mandela Washington Fellowship for Young African Leaders is the
 United States' flagship program of the Young African Leaders Initiative
 (YALI) that empowers young people through academic coursework,
 leadership training, and networking.

 More about the Mandela Washington Fellowship >




Featured YALI Network Online Course

 Strategies for Personal Growth and
 Development
 Learn different ways you can develop your business, organization and
 personal skills.

 Select
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"What's New With YALI?

 Her Side Job is Standing Up for
 Survivors of Abuse
 Learn how Gloria is producing content and standing up for women, every
 day



 Meet the Woman Paving the Way for
 Girls in Kenya
 Christine is working to provide women with a strong support network.
 Here's why.
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"   She Grew Up Without Books. Now
   She's Fighting for Literacy for Every
   Child.
   Wairimu on literacy, access to education, and community service

Read More From YALI



Stay connected with the YALI
Network:
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"AYLS70_ AYLS301_AYLS151_ Frequently Asked Questions - Mandela Washington
Fellowship_Simplified
SourceURL: https://www.mandelawashingtonfellowship.org/frequently-asked-questions/


                                           Frequently Asked Questions


                                           What does YALI stand for?
                                           YALI stands for the Young African Leaders Initiative.



                                           What is the Young African Leaders
                                           Initiative?
                                           The Young African Leaders Initiative (YALI) is a signature effort to invest in
                                           the next generation of African leaders. YALI was founded in 2010 and is
                                           celebrating its tenth anniversary in 2020. YALI was created to support young
                                           Africans as they spur growth and prosperity, strengthen democratic governance,
                                           and enhance peace and security across Africa. There are three components
                                           of YALI: the Mandela Washington Fellowship, Regional Leadership Centers,
                                           and the YALI Network.
"
/Users/Ela 1/Documents/LDT Mac/7. ProfessionalDevelopment/SICSS_Project/SICSS-Project-African-Youth-Leadership/Webscraped data/AYLS_070_Mandela Washington Fellowship.pdf,"What is the Mandela Washington
Fellowship?
The Mandela Washington Fellowship for Young African Leaders, begun in
2014, is the flagship program of the Young African Leaders Initiative (YALI)
that empowers young people through academic coursework, leadership
training, and networking. In 2021, the Fellowship will provide approximately
700 outstanding young leaders from Sub-Saharan Africa with the opportunity
to hone their skills at a U.S. college or university with support for professional
development after they return home. The Mandela Washington Fellowship is a
program of the U.S. Department of State with funding provided by the U.S.
Government and administered by IREX.



What are Regional Leadership Centers?
YALI Regional Leadership Centers (RLCs) build on existing institutional
capacity in Africa to provide high-quality training, mentorship, and networking
support to young leaders beyond the Mandela Washington Fellows. RLCs
provide on-the-continent programming focused on the Fellowship’s core
themes – business, civic leadership, and public management. The four RLCs
offer training throughout the year in English, French, and Portuguese and are
located in Nairobi, Dakar, Accra, and Pretoria. Learn more about the RLCs.



What is the YALI Network?
"
