"","word","freq"
"1","00100nairobi",2
"2","001k0240003",1
"3","006i3a3k31031001030",1
"4","00g3401g06",2
"5","00jhk558",1
"6","00p",1
"7","0100005068589website",1
"8","010h8",1
"9","011234567892033139321324552a42",1
"10","011ninu",1
"11","01213045126317668988abcd815e77f",1
"12","0121324326748942343706174267abcdefgh22ijj4234377k63lj4949121392432926748j",1
"13","012312456796abcdef",1
"14","01234267828938762687622236a48a2686826a687b2c7d2136a2add36887363a33267821b127c764a238767893e3afg",1
"15","0123450178193191931478a08b98285",1
"16","012345674892testimonials0",1
"17","0123456789aa2bccdddef3eg1c00c0he22",1
"18","0123i8èa8elfcft",1
"19","0123o899oa9apgflqrrsj",1
"20","012b56578",1
"21","0135l15j",1
"22","013989298365893303c5983n5836o20682c39",1
"23","017710v6791u175310wlfdb",1
"24","018annualreview",1
"25","01aa25a231b1cd3e3f198fghi00j546kl",1
"26","01g",1
"27","01ilm",1
"28","01k1p360k03",1
"29","01k340210g3401g06",1
"30","01qll1n65",1
"31","01u",1
"32","02132110g3401g06",1
"33","0235607890860989a0bcdefghijk6lmmnnnop890860oqma686m83m",1
"34","0299a",1
"35","02p00",1
"36","035a3456789",1
"37","037838012a74",1
"38","038ghee",1
"39","03afrika",1
"40","03g289895",1
"41","040233k033210",1
"42","05455i173801g21b3q85i0123456789",1
"43","0644email",1
"44","07622b84580",1
"45","080a00b08",1
"46","0830hrs",1
"47","0832034884h85488h80888553483783348382l93438i",1
"48","083481324838b3b8128491i",1
"49","0898c",1
"50","09227abc6d84209599ab",1
"51","0a0213j",1
"52","0b",1
"53","0b35630033",1
"54","0bcd701227",1
"55","0conference",1
"56","0e",1
"57","0e6",1
"58","0ef5eg",1
"59","0f",1
"60","0f6526ghh529",1
"61","0g3",1
"62","0g303h32010303z1403",1
"63","0h",1
"64","0h3",1
"65","0h8gif00g00",1
"66","0i",1
"67","0j",2
"68","0j05c31a2534gd3d01a013531301ad313a35",1
"69","0j3",1
"70","0k",1
"71","0l329",1
"72","0llcar",1
"73","0o",1
"74","0q6",1
"75","0r",1
"76","0s00",1
"77","0s39767636478",1
"78","0soga",1
"79","10000changema",1
"80","100033k",1
"81","1000in",1
"82","101010everywhere",1
"83","1053url",1
"84","10decision",1
"85","10po",1
"86","10regrettably",1
"87","10th",9
"88","10wins",1
"89","110k3z",1
"90","110th",1
"91","111111t",1
"92","111j",1
"93","111jitcnayls",1
"94","111m",1
"95","111y1111ym",1
"96","112w",1
"97","117m",1
"98","11billion",1
"99","11db",1
"100","11flidcc",1
"101","11form",1
"102","11fup",1
"103","11g2",1
"104","11n1",1
"105","11nleaders",1
"106","11t",1
"107","11t11",1
"108","11ta",1
"109","11th",9
"110","11thetj",1
"111","11tnt",1
"112","11tt1",1
"113","120young",1
"114","122118m1e32213253252c2",1
"115","123i",1
"116","128d2b0201035c38f1d0c730b09fc4a0f0c193di20360123acf",1
"117","12962pqrsnpqpqea3",1
"118","12a962g246",1
"119","12african",1
"120","12emerging",1
"121","12h13",1
"122","12k",1
"123","12n637wn245o164511226oo905152040vn4vn240t2123",1
"124","12pm",1
"125","12schedule",1
"126","12th",10
"127","12th24th",1
"128","12v60614s2164212247602t22p16012360021v69136o",1
"129","12year",1
"130","130df200027c0f2ccf90312c02c1kc0c7f90lmnmopqrtuvwq",1
"131","138288q082k083488x0ab7k175i019230123143",1
"132","13december",1
"133","13implemented",1
"134","13member",1
"135","13th",6
"136","13thoctober",1
"137","141q21369rr5s50r12on5233232201415606345150rs43569",1
"138","143setpurvwie9k3484503h8k41h8b9381012345101g",1
"139","14commissio",1
"140","14ii",1
"141","14ll",1
"142","14s",1
"143","14th",2
"144","1502079cape",1
"145","1502249po",1
"146","150nations",1
"147","1541url",1
"148","15and",1
"149","15atala",1
"150","15learn",1
"151","15th",2
"152","15yearold",1
"153","1620author",1
"154","16423169343155401012533672012n637w166n12o6n",1
"155","1657url",1
"156","16ghiklmnnoiplqrstpuqqsmvnwnuxmuknolnvmpystvumlmzlppittvvyvnwtousyzmunilpolvnwpltisnlvonulyyriuryikvnozvtlvyvnvitghoimkilivmpyszizvmtupvinwlmzpuqqsmvnwvmvnvlnvaitvnqstnixmuknolnkilimunlszimbmpystvumtousyzilvonlmzmunlolmzusn",1
"157","16th",1
"158","17displaced",1
"159","17million",1
"160","17th",1
"161","17u",1
"162","17wins",1
"163","1800030000opens",1
"164","18000doctoral",1
"165","1800hrs",1
"166","1808581322012345i",1
"167","1818the",1
"168","1835years",1
"169","1881article",1
"170","18ala",1
"171","18th",4
"172","1920s",1
"173","1927buchmans",1
"174","1929yrs",1
"175","1930s",1
"176","193d8a1a0201338ddcc011a09cd1403h8c9428f02cdc1c3a070k",1
"177","1947at",1
"178","1950by",1
"179","1950s",1
"180","1960s",1
"181","1960sand",1
"182","1965in",1
"183","1970swith",1
"184","1990sthe",1
"185","1994but",1
"186","19tfr",1
"187","19th",1
"188","19tlr",1
"189","1a",1
"190","1athn",1
"191","1b",1
"192","1b6c41db73c71ddd12345678152637263b73b3d137e675f",1
"193","1bcdedfghijhkekelmhlnn",1
"194","1be",1
"195","1ci",1
"196","1cilll",1
"197","1civ011l",1
"198","1cn",1
"199","1deadline",1
"200","1di",1
"201","1e",3
"202","1e1",1
"203","1early",1
"204","1em",1
"205","1es",1
"206","1f9",3
"207","1fg",2
"208","1fo1l",1
"209","1g",1
"210","1global",1
"211","1h",1
"212","1hdr",1
"213","1he",4
"214","1i2039c1̀b0210cd2c1kd02c44cc",1
"215","1iiq",1
"216","1il",2
"217","1ilirij",1
"218","1itthjy",1
"219","1j",1
"220","1j1ulkjj",1
"221","1j2111",1
"222","1jt1di1uxlin",1
"223","1k",1
"224","1k1140215",1
"225","1k131k30j",1
"226","1k1k0",1
"227","1k61",1
"228","1l",2
"229","1li",1
"230","1litpa",1
"231","1llhlfl",1
"232","1ltoroc",1
"233","1m67",1
"234","1n",1
"235","1nmes",1
"236","1november",1
"237","1p1lk1",1
"238","1rnulitt1",1
"239","1rnurisi111",1
"240","1st",4
"241","1staffultyarticlesourceurl",1
"242","1t",4
"243","1t11n1te",1
"244","1th",1
"245","1tltributiu",1
"246","1u",1
"247","1u1",1
"248","1uf",1
"249","1ul1i",1
"250","1vojityof",1
"251","1win",1
"252","1wuilxiu",1
"253","1wwnityal",1
"254","1xr",1
"255","20000postdoctoral",1
"256","2001the",1
"257","2008liisearch",1
"258","2009ijhe",1
"259","200cb0jd203778cc03137199e3190f28023h02cdc1cd778c",1
"260","2010assessing",1
"261","2010education",1
"262","201117th",1
"263","2011assessing",2
"264","2011paye",1
"265","2011the",2
"266","2012activities1",1
"267","2012as",1
"268","2012assessing",1
"269","2013assessing",1
"270","2013identifying",1
"271","2013j",3
"272","2013jclimate",2
"273","2014a",1
"274","2014assessing",1
"275","2014opportunities",1
"276","2014review",1
"277","2014the",1
"278","2015related",1
"279","2015the",1
"280","2016african",1
"281","2016center",1
"282","2016largely",1
"283","2016location",1
"284","2016morning",1
"285","2016nigeria",1
"286","2016pew",1
"287","2016programs",1
"288","2016sreliefwebintsitesreliefwebintfilesresources2200wrcyouthreportlrpdfunicef",1
"289","2016than",1
"290","2016there",1
"291","2016trajectories",1
"292","20170710050237wwwayiccnethomeavls1432016",1
"293","2017academic",1
"294","2017although",1
"295","2017b",1
"296","2017c",2
"297","2017rdpdf",1
"298","2017research",1
"299","2017successes",1
"300","2017swwwunhcrorg5b27be547pdfunhcr",1
"301","20182030smastercardfdnorgstrategymastercard",1
"302","2018a",2
"303","2018b",2
"304","2018c",5
"305","2018d",1
"306","2018f",1
"307","2018report",2
"308","2018retrieved",1
"309","2018swwwunhcrorg5d08d7ee7pdfunhcr",1
"310","201910th",1
"311","20192020backgrounddevelopment",1
"312","2019a",7
"313","2019aeducation",1
"314","2019afor",1
"315","2019amany",1
"316","2019and",1
"317","2019annual",1
"318","2019ayls1alas",1
"319","2019ayls1the",1
"320","2019b",3
"321","2019beyond",1
"322","2019c",4
"323","2019communities",1
"324","2019d",1
"325","2019december",1
"326","2019e",1
"327","2019f",3
"328","2019g",2
"329","2019gallery",1
"330","2019in",1
"331","2019lead",1
"332","2019neafrica",1
"333","2019nt",1
"334","2019sitated",1
"335","2019symposium",1
"336","2019the",1
"337","2019youth",1
"338","202021ayls93development",1
"339","202021march",1
"340","2020a",1
"341","2020after",1
"342","2020commonwealth",2
"343","2020covid19",1
"344","2020dear",1
"345","2020i",1
"346","2020if",1
"347","2020in",1
"348","2020join",2
"349","2020june",2
"350","2020kectil",1
"351","2020learn",1
"352","2020may",4
"353","2020notification",1
"354","2020our",1
"355","2020people",1
"356","2020reportingunhcrorgsitesdefaultfiles2019202020ethiopia20country20refugee20response20plan2028february20201929pdfunhcr",1
"357","2020rt",2
"358","2020rtuniedlah",1
"359","2020sourceurl",1
"360","2020southern",1
"361","2020the",2
"362","2020tips",2
"363","2020to",2
"364","2020uvwx",1
"365","2020yaliserves",2
"366","2021fellowship",1
"367","202q07",1
"368","2033j3c8k450c26j3739",1
"369","2063the",1
"370","2063youth",1
"371","20a228ce",1
"372","2111d",1
"373","21145wwwpsogovkilesotho",1
"374","21415c94w1ccj9x9211",1
"375","21i",1
"376","21r6",1
"377","21st",4
"378","2299email",1
"379","22nd",2
"380","2302896325989p5",1
"381","2313acceleration",1
"382","232c59",1
"383","233209016886email",1
"384","2335943039338jc20",1
"385","233c8k450c263739",1
"386","234677489646abcd63ef3g6dh64da3gedid9697a36a8",1
"387","23be",1
"388","23c2",1
"389","24270000budget",1
"390","24a3n",1
"391","24k0310",1
"392","24significant",1
"393","24teaching",1
"394","25th",8
"395","2638email",1
"396","263t5075c392803",1
"397","268291234567972a25b6cd22e5f",1
"398","26f00g0001",1
"399","26j",1
"400","26j03430",1
"401","26k",1
"402","26th",2
"403","26yrs",1
"404","272020congrats",2
"405","2792w",1
"406","27th",7
"407","27thoctober",1
"408","28074675387161a",1
"409","28december",1
"410","294549ijklmnojqrss",1
"411","298d",1
"412","29countiesleadership",1
"413","2a",1
"414","2a7",1
"415","2b0",1
"416","2b9919d4",1
"417","2c",1
"418","2day",1
"419","2dm",1
"420","2g",1
"421","2government",1
"422","2h1",1
"423","2h2112",1
"424","2h88",2
"425","2i52772",1
"426","2j",1
"427","2month",1
"428","2nd",29
"429","2o",1
"430","2p01234567389",1
"431","2pvfpqrw",1
"432","2r3ux53s126l",1
"433","2rfpqrw",1
"434","2rzfpqrw",6
"435","2sfpqrw",1
"436","2two",1
"437","2v",1
"438","30000november",1
"439","30000quality",1
"440","307837qrml329932303",1
"441","30909b",1
"442","30a2",1
"443","30ccdefgh",1
"444","30o100h010",1
"445","30refugees",1
"446","30th",1
"447","30university",1
"448","311th",1
"449","3130c8",1
"450","31st",2
"451","32english",1
"452","33hf",1
"453","342517j3553",1
"454","343k",1
"455","3450335c89",1
"456","3456784867547876484ab6bc3c8ddef4c4bc686b6g4e86gf8e766hc86f74dc0123456789",1
"457","3462e3",1
"458","3488594b030803h8385510195b1138855853",1
"459","34885h81083035k155a2803181714801234573",1
"460","34c",1
"461","34k333p03004011j3h",1
"462","34st50",1
"463","350deeply",1
"464","350org",1
"465","3583450c5",1
"466","35i",1
"467","35p",1
"468","35years",4
"469","360º",10
"470","360ºsocial",1
"471","3792i",1
"472","37e",1
"473","37ensure",1
"474","39014853b1h84785i",1
"475","395xj9zu",1
"476","3a120",2
"477","3a7",3
"478","3able",1
"479","3aicagiana0akfljklm0fg",1
"480","3alba3a",1
"481","3b",1
"482","3c",2
"483","3c1302",1
"484","3c2",1
"485","3ei03",1
"486","3f",1
"487","3f939m3en9e023m3ep",1
"488","3h",1
"489","3h1265377",1
