ID#,Name,Year,Program Sites,Webscrape,Short Description,Board Members Scrpped,Board Members or Directors,Foundation Maps,Website,Donors and Sponsors,HQ City,HQ Country,Primary Typology,Primary Donors,Board Members,All Typologies,Verified,Africa Only,Notes,Complete,School Level,Duration,Duration*,Eligible Ages,Ages*,Cohort Range,Cohort #,Total Reach #,Funders,Cost,Partner Orgs,Contact Info,Social Media,Case Materials,Press,Related Entries,Discovery Method,First Reviewer,Second Reviewer,Comments,Completed Participant Search,Researcher,AutoNumber,Auto Number,Participant Nationalities
AYLS001,African Leadership Academy,2004,South Africa,checked,"The African Leadership Academy campus was opened in 2008 in Johannesburg however, the initial Summer Academy was launched in 2005 in Cape Town. The Academy seeks to transform Africa by developing a network of at least 6,000 leaders to tackle the most pressing challenges in Africa. The academy’s main program is a selective two year pre-university course for African students aged 16-19, which includes courses in Entrepreneurial Leadership, African Studies, Writing and Rhetoric, and the Cambridge A-Levels exam. The total cost of attendance for the 2017-2018 academic year was USD 30,900; students are given scholarships to attend based on demonstrated need. The academy is also sponsored by a number of corporations, foundations, and individual donors.

",checked,checked,,http://www.africanleadershipacademy.org/,"Over 1 million dollars:
Bezos Family Foundation,
Ed and Amy Brakeman,
Rebecca Capezio,
Frederick S. Pardee,
The MasterCard Foundation, John & Tashia Morgridge Omidyar Network,
Robertson Foundation,
Scott Cook & Signe Ostby Derek Schrier & Cecily Cameron ,W.K. Kellogg Foundation
$500,000-$1,000,000
Josh & Anita Bekenstein,
Hakeem & Myma Belo-Osagie, Cisco Systems,
The Coca-Cola Africa Foundation, ELMA Philanthropies,
GE,
Google,
Irv & Sukey ,Grousbeck,
Ishiyama Foundation,
Michael and Susan Dell Foundation ,Tunde & Reni Folawiyo",Johannesburg,South Africa,brick & mortar instituiton,,,"brick & mortar institution,scholarship or grant,short-term program,conference or meeting",checked,checked,"African Leadership Academy seeks to transform Africa by developing a powerful network of over 6,000 leaders who will work together to address Africa’s greatest challenges, achieve extraordinary social impact, and accelerate the continent’s growth trajectory.

Annual reports incl. 10 year anniversary report available in pdf formate. Also numerous youtube videos available on their YouTube Channel",checked,"Senior Secondary,Junior Secondary",2yrs-<4 yrs,2 years,"13-17,18-24",16-19,101-500,120,1180,"Foundation,Other","$30,900 per year",,info@africanleadershipacademy.org,"https://twitter.com/ALAcademy
https://www.youtube.com/watch?v=4hR_LyBvzDM&list=PLKYpXTNtMg4XiEbShMwUWcQcgmkkxDQrM","2014 ALA Annual-Report.pdf (https://dl.airtable.com/5B2UchnRQRur0jPeYfVS_2014%20ALA%20Annual-Report.pdf),ALA-Prospectus_2018_English.pdf (https://dl.airtable.com/R1viileYQxacE5sinpKP_ALA-Prospectus_2018_English.pdf)","1. http://www.dailytarheel.com/article/2018/04/leadership-academy-0409
","AYLS127,AYLS126,AYLS3,AYLS2",Google Search,,,,,FA,1,,
AYLS004,Afrika Tikkun,1994,South Africa,checked,"Founded in 1994, Afrkian Tikkun seeks to meet the day to day needs of children.  The organization has developed over the years into one  focused on overall development.  The primary objective of Afrika Tikkun is to provide holistic development in disadvantaged communities. They aim to empower young people from age 2-29 by affording them the opportunity to receive gainful education, good health care, nutrition and support for their families.  They offer a number of programmes that ensure an all rounded person as the outcome. Their 360 degree Model of care focuses on three developmental phases namely: Early Childhood Development, Child and Youth Development, and Career Development. Additionally, we have programmes which support our 360 degree Model, namely: Family Support Services, Primary Health Care, The Empowerment Programme, and Nutrition and Food Security Programme. It is a South African based organization with support offices in the UK, America and Australia.
",checked,checked,,http://www.afrikatikkun.org/,"Total SA, ABSA, KFC, Belron, Western Cape Government, Khaliques, Maersk, Dischem foundation,Eric and Sheila Sampson Foundation",Johannesburg,South Africa,brick & mortar instituiton,,,"brick & mortar institution,network,short-term program",checked,checked,"The primary objective of Afrika Tikkun is to provide holistic development in disadvantaged communities. We aim to empower young people by affording them the opportunity to receive gainful education, good healthcare, nutrition, and support for their families. In doing so, we equalize the playing field for unprivileged you f people so that they have the same employment opportunities that the privileged youth have.",checked,"Primary,Junior Secondary,Senior Secondary,University (First Degree)",4 yrs,Varied according to program,"< 13,25-35,36-45",2-29,501-1000,500,14000 lives impacted (2020),"Government,Corporation,Foundation",,Afrika Tikkun Business Solutions,info@afrikatikkun.org,"https://twitter.com/AfrikaTikkun
https://www.youtube.com/user/MaAfrikavideo/videos?view_as=subscriber
https://www.facebook.com/AfrikaTikkunNPC/",,http://www.itnewsafrica.com/2018/06/creating-greater-accessibility-and-assisting-disability-through-technology/,,Google Search,Christiana Kallon Kelly,Rehana Odendaal,"Website has a fairly 'complex' layout that might mean some interesting info is not exported to Dedoose.
Website includes a large database of casematerials including annual reports, a quarterly magazine, YouTube channel and press articles",,FA,4,,
AYLS006,Educate!,2002,"Kenya,Rwanda,Uganda",checked,"Educate! aims to scale an experienced-based educational model across Africa, in order to  curb youth unemployment, and create a movement of young Africans to drive sustainable development. This is done by partnering with lower income secondary schools in Uganda, and Rwanda, to reform their educational models through the provision of skills courses, business clubs, and mentorship for students aged 13-19, and training for teachers. The program began with 24 schools in 2009, and has partnered with 700 Ugandan schools, and 175 Rwandan schools by 2018, directly and indirectly reaching up to 240,000 youth. The initiative provides an replicative open source program with the aim of making the curriculum available to schools in need worldwide. Educate! is sponsored by numerous foundations, most notable: the MasterCard Foundation, and the Montpelier Foundation.",checked,checked,,http://www.experienceeducate.org/,"Ashoka, Echidna Giving, Echoing Green, Forbes 30 under 30, Global Innovation Fund, The MasterCard Foundation, Mulago, Wise, Montpelier Foundation, Planet Wheeler, Red Empress foundation, Segal family foundation, Shell Centenary Scholarship fund, Barclays",Kampala,Uganda,short-term program,,,short-term program,checked,checked,"Educate! tackles youth unemployment by reforming what schools teach and how they teach it, so that students in Africa have the skills to start businesses, get jobs and drive development in their communities. Our model is delivered through practically-trained teachers and empowered youth mentors. Educate!’s goal is to make this practical, skills-based model part of national education systems. Educate! believes that by transforming secondary education we can equip youth with the skills to disrupt the systemic problem of youth unemployment. By creating a new educational model that reforms what schools teach and how they teach it, Educate! is empowering teachers and youth mentors to equip students with the skills to drive measurable change. Educate!’s experiential model teaches the “hard skills” of business including planning, budgeting, savings and market research. Educate! complements these skills with the “soft skills” demanded most by both employers and students themselves, such as teamwork, public speaking, networking, critical thinking, self-confidence and creativity.

Opened in Kenya in 2016
Mentions specific impact on girls as well",checked,"Junior Secondary,Senior Secondary",2yrs-<4 yrs,18 months,"13-17,18-24",13-19,10-50,40 per school each year,42000 (2018),"Foundation,Corporation,Government",N.L.,,http://www.experienceeducate.org/contactus/,https://twitter.com/EducateOrg,Annual_Report_2017.pdf (https://dl.airtable.com/jdycEJMSQq0dguA5xiR2_Annual_Report_2017.pdf),,,Google Search,,,"Note that in webscraping I did not take a full scrape of fee structure for each phase, but these are available on the website",,FA,6,,
AYLS007,Future Nation School,2017,South Africa,checked,"First: To nurture and develop a different generation of African leaders through the vehicle of access to a new education culture at the basic level and secondary school level. A type of education that will focus on turning the gaze of the children away from avarice, extortion, selfishness, the vain, and obsession with accumulation of material wealth, and prepare them for leadership that embraces living for a higher purpose. There must be a profound transformation of the mind of future generations of African leaders from ""Me, my family and cronies"" to ""We The People"". This is the core of our Mission and the mainstay of PACAW's goal.",,,,https://futurenationschools.com/,,Johannesburg,South Africa,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"The strategic intent of Future Nation Schools is to produce future African leaders who are passionate, excel in what they do, are ready for the 21st century and are confident in themselves. Our vision is to build a network of affordable private schools across South Africa, and the rest of Africa, that offers excellent education which is characterised by: student-centered learning, high academic standards, problem-solving skills, a focus on applied research and development (including project-based teaching and learning), innovation, leadership, entrepreneurship and African studies.

We want to achieve a 100% university entrance qualification in every graduating class of the Future Nation Schools to uphold our value of excellence.
Future Nation Schools aims to prepare students to excel and succeed in their personal and professional life through:",,"Primary,Junior Secondary,Senior Secondary",4 yrs,3-9 years,"< 13,13-17,18-24",1-18,NL,NL,NL,Other,Varies according to grade,,info@futurenationschools.com,"https://twitter.com/futurenationza
https://www.instagram.com/futurenationschools/
Future Nation Schools",2019-FNS-Brochure.pdf (https://dl.airtable.com/2L5GA4vQlOC9se3aXMVi_2019-FNS-Brochure.pdf),,,Google Search,Rehana Odendaal,,"Note that the webscrap of extracurricular activities at the school is in Afrikaans, as the English version was not properly linked. School fees changed since originally entered into the database.",,FA,7,,
AYLS008,Global Leadership Academy,2010,South Africa,checked,"The Global Leadership Academy is owned by Global Challenge Expedition, a Christian non-profit youth ministry which aims to develop young leaders who will make a positive global impact. The five-year academy offers classes from grade 8-12, for students aged 13-19. The academy strives to create an environment of innovation in order to nurture young leaders through physical, emotional, social, and spiritual development. The academy provides affordable private education  in South Africa, based in Jeffery's Bay. It is a multi-lingual institution (Afrikaans and English) with e-learning as an important part of its pedagogical approach.",,,,https://www.gla-jbay.org/index.php,,Jeffrey's Bay,South Africa,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"Global Leadership Academy dares to establish an innovative learning environment, with firm core values, where young people can grow into leaders who will impact and serve their world. We want to grow these leaders by: Developing them physically, emotionally, socially and spiritually. Teaching in an environment with the highest academic standards. Creating a tradition of excellence in everything we do. Exposing them to real life and international experiences",checked,"Junior Secondary,Senior Secondary",4 yrs,5 years,"13-17,18-24",13-18,10-50,25 max per class (unclear how many classes per grade),NL,Other,R22440 a year + R700 Application fee (in 2020),Global Challenge Expedition,admin@gla-jbay.org,"https://www.youtube.com/channel/UCjHe2m0toG_bkuSxuh0cehg
https://www.facebook.com/glajbay
https://www.instagram.com/glajbay/",,,,Google Search,,,,,FA,8,,
AYLS010,Leap Science & Math Schools,2004,South Africa,checked,"LEAP Science and Math schools provide an education focused on science and mathematics to economically disadvantaged secondary school students. Each school is partnered with a more privileged school to allow for interconnectivity between the schools to better serve the students. The five-year program is open to students between the ages of 13 and 18, and provides free education to all students- the cost to educate one student is approximately ZAR 35,000 a year. Funding partners include Toshiba, Deloitte, Rand Merchant Bank, and the London Community Foundation among others. While educational partners include Teach South Africa, and Equal education among others.",,checked,,http://leapschool.org.za/,"Funding Partners: Toshiba, Deloitte, AECOM, Truworths Involved, AECI, Homechoice Development Trust, Peter Cundill Foundation, J&J Group, London Community Foundation, Gauteng Province, Rand Merchant Bank, Old Mutual, Western Cape Education Development, Optima Trust.
",Cape Town,South Africa,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"We strive for the positive transformation of communities through the meaningful education of  children from those communities. LEAP schools provide student-centred, maths and science-focused education to economically disadvantaged students from grades 8 to 12. We focus on enabling the self-awareness necessary for each student’s growth to healthy adulthood, and to ensuring optimal academic results which will allow for choices for lifelong learning and a fulfilling future. LEAP’s holistic approach includes engaging with the broader community and developing partnerships and collaboration that add shared value. Every LEAP school is partnered with a more privileged school as well as township schools in the community the school serves. This three-way collaboration makes for stronger, better-equipped schools and the opportunity to share excellence in all spheres.

Amelia Simone Herbert, of Teacher's College, Columbia University, conducted her PhD research within the LEAP schools.",checked,"Junior Secondary,Senior Secondary",4 yrs,5 years,"13-17,18-24",13-18,"51-100,> 1000",74 students in 2004; 1374 in 2018 cohort,NL,"Government,Corporation,Foundation","ZAR35,000","Bridge, South African Extraordinary Schools Coalition, Teach South Africa, Equal education, Ed village Teach with Africa; The Lunchbox Fund; AVENG",info@leapschool.org.za,"https://twitter.com/leapschools
https://www.facebook.com/leapschool/
",,"http://www.bdlive.co.za/opinion/2013/08/20/schools-with-enforceable-contracts-offer-hope-to-poor
http://mg.co.za/article/2013-08-06-publicly-funded-privately-managed-schools-1",,,,,"Messaging around ""Leadership"" is not very explicit.
Website includes Annual Reports back to 2010 as well as a comprehensive series of alumni stories/videos",,FA,10,,
AYLS011,MPESA Foundation Academy,2016,Kenya,checked,"Funded by the M-PESA foundation, the Academy provides 4 fully funded years of quality education for students from economically disadvantaged students. The current student body of over 482 students is given an opportunity to develop into well rounded leaders, through training in music, technology, sports, arts, and community service initiatives. The school is guided by the CLARE values: Curiosity, Leadership, Accountability, Innovation, Responsible Citizenship, and Excellence. The school aims to admit about 200 students each year- four from each of Kenya’s counties- through a selective, multi-step application process which involves telephone, and in person interviews",,,,http://mpesafoundationacademy.ac.ke/,MPESA Foundation,Thika,Kenya,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"M-PESA Foundation Academy offers a world class, well rounded learning environment to develop future leaders. The Academy places great emphasis on the holistic development of all our learners not just in academics but also in technology, music, sports, the arts, outdoor pursuits and community service.
Learners are exposed to the latest technology as part of the day-to-day teaching. The school focuses on moulding future leaders and entrepreneurs by incorporating the core values of Curiosity, Leadership, Accountability, Innovation, Responsible Citizenship and Excellence (CLAIRE) into every sphere of learning within the Academy.
The Academy offers a platform for economically disadvantaged students who would otherwise not be in a position to further their education after primary level. Learners joining form one are offered full scholarships.",checked,"Junior Secondary,Senior Secondary",2yrs-<4 yrs,4 years,"13-17,18-24",13-18,101-500,200,684+ students enrolled,Foundation,$0,,info@mpesafoundationacademy.ac.ke,"https://twitter.com/MPESAFdnAcademy?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AMPESAFdnAcademy&ref_url=http%3A%2F%2Fmpesafoundationacademy.ac.ke%2Fadmissions%2F
https://www.facebook.com/MpesaAcademy/
",,,,,,,"School Magazine PDFs downloaded as separate files because they were too big for EverNote. Also a number of school news stories under ""news and events"" section. Website structure didn't agree with scrapping very well",,FA,11,,
AYLS012,Nobel Hall Leadership Academy for Girls,2013,Nigeria,checked,"Noble Hall Academy aims to develop young girls between the ages of 11 and 16 to be future leaders through its unique leadership curriculum. In addition to offering the British IGCSE examination, this five-year secondary school is also connected to the African Leadership Academy (ALA). The quality of our school curriculum ensures our students experience a learning environment that’s fun, enriching, and secure.
",,checked,,http://www.noblehall.com/,,Abuja,Nigeria,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"To turn today's learners into tomorrow's leaders. We are a boarding and day secondary school in Abuja, providing an exciting and enriching learning environment for girls between the ages of 11 and 16. Vision: To enrich girls' lives, through a world-class, holistic education developing leaders of tomorrow.
Each year, year 10 (10th grade) students attend ALA’s leadership conference. The cost to attend is between NGN 900,000-NGN1,500,000 per year.",checked,"Junior Secondary,Senior Secondary",4 yrs,5 years,"< 13,13-17",11-16,101-500,300 enrolled in school,NL,"Government,University,NGO","NGN 900,000-NGN1,500,000","Stanford, British Council, African Leadership Academy, Cambridge International  Examiniation, Government of Nigeria, AGBIS, PSHE,",info@noblehall.com,"https://twitter.com/noblehallschool
https://www.facebook.com/NobleHallLeadershipAcademyForGirls/",,,AYLS1,,,,,,FA,12,,
AYLS013,Nova Pioneer Schools for Innovators & Leaders,2015,"Kenya,South Africa",checked,"The Nova Pioneer Education Group is a Pan-African school network which offers education from the preschool level to secondary education. Nova Pioneer boys is a four-year secondary school program, which aims at teaching students to be influential leaders in the world around them. Students are given an individual focus based on their specific interests and talents, with the goal of success after secondary education.",,checked,,https://www.novapioneer.com/,,Kikuyu,Kenya,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"Today’s youth will encounter a future that will look and work differently than the world does today, and that will continue to evolve during their lifetime. At Nova Pioneer, our learning experience ensures that we’re preparing our students to shape and lead that future, not simply work in it. We know that our students will have different passions, interests, and talents, and we will work closely with each individual student as they continue to develop their unique abilities. Nova Pioneer empowers all of our students to uncover their personal potential, and sets them up for post-secondary success.",,"Junior Secondary,Senior Secondary",2yrs-<4 yrs,4 years,"< 13,13-17",4<,NL,NL,NL,N.L.,"KES 300,000 (2784 USD)",,admissions.ke@novapioneer.com,"https://twitter.com/Nova_Pioneer
https://www.instagram.com/novapioneer
https://www.facebook.com/novapioneerkenya/",,,,,,,Not sure this falls under youth leadership and development. No clear goals stated in school's mission or vision that pertain to leadership development or as similarly described in protocol,,FA,13,,
AYLS016,Oprah Winfrey Leadership Academy for Girls,2007,South Africa,checked,"The Oprah Winfrey Leadership Academy for Girls trains high achieving girls who have both academic and leadership talents, from households in South Africa with a total income of less than ZAR 10,000. Students are guided even after they leave the Academy, through their university careers, both in South Africa, and abroad, in order to nurture them with leadership and service skills that will allow them to impact their communities, and the world in the future. Students are chosen after a rigorous application process, which involve entrance testing, psychological evaluations, and home visits. The Academy is funded mainly through the Oprah Winfrey Leadership Academy Foundation, but is also sponsored by FedEx, Standard Bank, and the Mary Oppenheimer and Daughters Foundation among others.",,,,http://www.owla.co.za/,"Oprah Winfrey Leadership Academy Foundation, FedEx
Envisionit Dare to Dream Bursary Foundation
WDB Investment Holdings
Standard Bank
Mary Oppenheimer and Daughters Foundation
Geness Foundation",Johannesburg,South Africa,brick & mortar instituiton,,,brick & mortar institution,checked,checked,"We support the development of a new generation of women leaders who, by virtue of their education and service, will lead the charge to transform themselves, their communities, and the larger world around them. This goal adheres to the Academy’s principles of Ubuntu, which encompass the ideals of humanity, compassion and service to others. The spirit of Ubuntu permeates the Academy and is central to the way in which students think, speak, act and interact with others. We support the development of a new generation of dynamic women leaders. By virtue of their unique education, it is our hope that this generation will lead a positive and enduring transformation of their communities and country.
We strive to provide a nurturing educational environment for academically gifted girls who come from disadvantaged backgrounds. Our educational programmes are designed for girls in Grades 8 to 12 who have demonstrated academic talent and leadership potential. We equip students with the intellectual and social skills necessary to assume positions of leadership in South Africa and abroad.



",checked,"Junior Secondary,Senior Secondary",4 yrs,5 years,"13-17,18-24",13-18,"51-100,101-500",58 in the graduating class of 2018; 290 in the school,400+,"Foundation,Corporation",$0,,info@owlag.co.za,https://www.facebook.com/OprahWinfreyLeadershipAcademyForGirlsSA/,,https://africasacountry.com/2012/01/oprah-saves-education/,,,,,"'@Rehana Odendaal @Krystal Strong What should we put down for HQ? website says the following:

""Through a generous personal donation made by Ms Winfrey, the Oprah Winfrey Leadership Academy Foundation (OWLAF) contributed more than US$40 million towards the Academy's creation. The Foundation continues to fund the school and its boarding facilities. The Foundation is a Section 21 company registered in South Africa, as well as an Illinois not-for-profit corporation and a US 501(c)(3)""

Web content was not formatted well for scrapping. Alumni page on the website includes list of OWLA grads that have gone on to University in SA and includes lists of what they study.",,FA,16,,
